datetime,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
20:45:00.000Z,21:00:00.000Z,16.72656059,,41.6750064,2.2856434,41.6750079,2.2857577,,,,,,,,900000,,
21:00:00.000Z,21:15:00.000Z,43.80194277,636.0154401,41.6762825,2.2811833,41.6776597,2.2845886,1.297961617,1.626557231,0.936146855,1014,,,,304094,499102,
21:15:00.000Z,21:30:00.000Z,17.22477855,10.42824166,41.6778426,2.27989,41.6778426,2.27989,,,,8,,,,890816,9184,
21:30:00.000Z,21:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
21:45:00.000Z,22:00:00.000Z,16.7265625,,,,,,,,,15,,,,900000,,
22:00:00.000Z,22:15:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
22:15:00.000Z,22:30:00.000Z,21.49519998,28.41102527,,,,,0.346087694,0.346087694,0.346087694,83,,,,812096,87904,
22:30:00.000Z,22:45:00.000Z,62.28147741,672.2716749,41.6748975,2.2798935,41.6778588,2.2856657,0.993960188,1.409416199,0.232437402,951,,,,60251,839749,
22:45:00.000Z,23:00:00.000Z,16.72656072,,,,,,,,,,,,,900000,,
23:00:00.000Z,23:15:00.000Z,21.84634997,19.38091087,41.6748801,2.2856671,41.6748925,2.2858647,0.61685833,0.939999998,0.391696393,64,,,,805623,94377,
23:15:00.000Z,23:30:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
23:30:00.000Z,23:45:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
23:45:00.000Z,00:00:00.000Z,16.7265625,,,,,,,,,,,,,900000,,
